Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-4612,VATH,Varied Thrush,10/11/2019,9522 4th Ave NW,Seattle,King
2019-4616,SHBA,Silver-haired Bat,10/11/2019,Freeway Park,Seattle,King
2019-4619,AMCR,American Crow,10/11/2019,4708 22nd Ave NE,Seattle,King
2019-4626,HETH,Hermit Thrush,10/11/2019,13730 15th ave NE,Seattle,King
2019-4627,ROPI,Rock Pigeon,10/11/2019,Maynard Ave S & S Charles St,Seattle,King
2019-4628,HOFI,House Finch,10/11/2019,3029 NW 62nd St,Seattle,King
2019-4636,RTHA,Red-tailed Hawk,10/12/2019,1000 W Prospect St,Seattle,King
2019-4637,CEDW,Cedar Waxwing,10/12/2019,Ne 62nd St & 29th Ave NE,Seattle,King
2019-4638,ROPI,Rock Pigeon,10/12/2019,13721 Lake City Way NE,Seattle,King
2019-4640,EGSQ,Eastern Gray Squirrel,10/13/2019,17 SW 100th ST,Seattle,King
2019-4647,SSHA,Sharp-shinned Hawk,10/13/2019,7120 16th Ave SW,Seattle,King
2019-4648,NSWO,Northern Saw-whet Owl,10/14/2019,3970 Evanston Ave N,Seattle,King
2019-4650,EGSQ,Eastern Gray Squirrel,10/14/2019,400 23rd Ave,Seattle,King
2019-4651,ROPI,Rock Pigeon,10/14/2019,6th Ave S and Lander St,Seattle,King
2019-4652,GWGU,Glaucous-winged Gull,10/14/2019,10015 6th Ave SW,Seattle,King
2019-4654,GWTE,Green-winged Teal,10/14/2019,1111 NW 50th St,Seattle,King
2019-4655,GWGU,Glaucous-winged Gull,10/14/2019,1318 Lakeside Ave S,Seattle,King
2019-4658,DEJU,Dark-eyed Junco,10/14/2019,11312 12th Ave NE,Seattle,King
2019-4661,EGSQ,Eastern Gray Squirrel,10/14/2019,8228 14th AVE NE,Seattle,King
2019-4663,BTPI,Band-tailed Pigeon,10/15/2019,1st Ave and 145th,Seattle,King
2019-4664,CEDW,Cedar Waxwing,10/15/2019,844 69th St NE,Seattle,King
2019-4665,GWGU,Glaucous-winged Gull,10/15/2019,2nd and Union,Seattle,King
2019-4668,EGSQ,Eastern Gray Squirrel,10/15/2019,6700 Jones Ave SW,Seattle,King
2019-4672,AMCR,American Crow,10/15/2019,13740 Stone Ave N,Seattle,King
2019-4676,STJA,Steller's Jay,10/16/2019,10500 Aurora Ave N,Seattle,King
2019-4678,ROPI,Rock Pigeon,10/16/2019,Colorado Ave and Diagonal,Seattle,King
2019-4680,EACO,Eastern Cottontail,10/17/2019,7324 7th Ave SW,Seattle,King
2019-4683,COHA,Cooper's Hawk,10/17/2019,7400 18th AVE NE,Seattle,King
2019-4684,ROPI,Rock Pigeon,10/17/2019,15th Ave NW & NW 65th St,Seattle,King
2019-4686,HETH,Hermit Thrush,10/18/2019,2909 S Norman St,Seattle,King
2019-4691,ROPI,Rock Pigeon,10/18/2019,2200 6th Ave,Seattle,King
2019-4693,EGSQ,Eastern Gray Squirrel,10/19/2019,3215 SW Genesee St,Seattle,King
2019-4702,DEJU,Dark-eyed Junco,10/20/2019,10548 Interlake Ave N,Seattle,King
2019-4708,ROPI,Rock Pigeon,10/21/2019,2061 15th Ave W,Seattle,King
2019-4711,EUST,European Starling,10/21/2019,Airport Way S & Walker,Seattle,King
2019-4714,BTPI,Band-tailed Pigeon,10/22/2019,6236 44th Ave NE,Seattle,King
2019-4719,ROPI,Rock Pigeon,10/22/2019,4210 Brooklyn AVE NE,Seattle,King
2019-4723,ROPI,Rock Pigeon,10/23/2019,7th ave S and Industrial Way,Seattle,King
2019-4724,EGSQ,Eastern Gray Squirrel,10/23/2019,5200 Kirkwood Pl N,Seattle,King
2019-4734,ROPI,Rock Pigeon,10/24/2019,E Yesler Way & 3rd Ave,Seattle,King
2019-4747,RACC,Raccoon,10/27/2019,Sandpoint Way & 80th,Seattle,King
2019-4748,AMCR,American Crow,10/27/2019,2061 15th Ave W,Seattle,King
2019-4750,EGSQ,Eastern Gray Squirrel,10/27/2019,Greenlake Way North,Seattle,King
2019-4753,BTPI,Band-tailed Pigeon,10/27/2019,49th and Genesee,Seattle,King
2019-4755,CAMY,California Myotis,10/28/2019,6200 20th Ave NE,Seattle,King
2019-4756,ROPI,Rock Pigeon,10/28/2019,4530 University Way,Seattle,King
2019-4757,GWGU,Glaucous-winged Gull,10/28/2019,W Lee St & 10th Ave W,Seattle,King
2019-4763,GWGU,Glaucous-winged Gull,10/29/2019,2900 MLK St,Seattle,King
2019-4764,GWGU,Glaucous-winged Gull,10/29/2019,Murtle-Edwards Park,Seattle,King
2019-4769,NOFL,Northern Flicker,10/30/2019,7031 Ravenna Ave NE,Seattle,King
2019-4775,SOSP,Song Sparrow,10/30/2019,2061 15th Ave W,Seattle,King
2019-4776,ROPI,Rock Pigeon,10/30/2019,10600 Bagley AVE N,Seattle,King
2019-4777,AMRO,American Robin,10/30/2019,3000 30th AVE W,Seattle,King
2019-4782,EGSQ,Eastern Gray Squirrel,10/31/2019,4730 21st Ave NE,Seattle,King
2019-4783,DEJU,Dark-eyed Junco,11/1/2019,McGraw and Eyrs,Seattle,King
2019-4786,NSWO,Northern Saw-whet Owl,11/1/2019,Phinney & Canal,Seattle,King
2019-4794,GWGU,Glaucous-winged Gull,11/1/2019,505 5th Ave S,Seattle,King
